"price","host_is_superhost","neighborhood","latitude","longitude","property_type","accommodates","bedrooms","beds","cleaning_fee","minimum_nights","availability_365","review_scores_rating","cancellation_policy"
85,"False","Brooklyn",40.68656,-73.97525,"Appartment",1,1,1,60,3,0,96,"moderate"
75,"False","Manhattan",40.81219,-73.94499,"Appartment",2,1,1,40,1,338,93,"strict"
140,"True","Queens",40.77185,-73.90502,"Appartment",4,1,2,60,2,361,93,"strict"
159,"True","Brooklyn",40.68926,-73.99386,"Appartment",3,1,1,60,2,336,94,"strict"
189,"False","Manhattan",40.72821,-73.98701,"Appartment",2,1,1,69,3,0,95,"moderate"
250,"True","Manhattan",40.7672,-73.98508,"Appartment",4,1,2,100,3,0,96,"strict"
239,"False","Manhattan",40.73012,-73.99053,"Appartment",2,1,1,125,4,363,97,"strict"
308,"True","Manhattan",40.7403,-73.98498,"Appartment",2,1,1,75,2,310,99,"strict"
155,"True","Manhattan",40.80931,-73.94343,"Appartment",2,1,1,70,3,256,97,"strict"
70,"False","Manhattan",40.79696,-73.97047,"Appartment",1,1,1,0,60,345,95,"flexible"
60,"False","Manhattan",40.8251,-73.94287,"Appartment",3,1,1,25,1,328,94,"strict"
139,"False","Brooklyn",40.65912,-73.9842,"House",4,2,3,0,2,249,94,"moderate"
120,"False","Manhattan",40.76193,-73.9501,"Appartment",2,1,0,30,7,237,96,"strict"
150,"True","Manhattan",40.72052,-73.98589,"Appartment",2,1,1,130,3,209,93,"strict"
145,"True","Queens",40.70411,-73.89934,"Appartment",9,3,1,100,4,365,100,"strict"
300,"False","Manhattan",40.71756,-73.99503,"Appartment",5,2,2,0,3,318,90,"strict"
250,"True","Manhattan",40.7589,-73.96991,"Appartment",4,1,1,100,30,128,92,"strict"
500,"False","Manhattan",40.72003,-74.00262,"Appartment",6,3,3,100,4,77,87,"strict"
150,"False","Manhattan",40.80481,-73.94777,"House",3,0,2,0,3,365,90,"strict"
225,"False","Manhattan",40.73194,-73.99474,"Appartment",3,1,1,100,5,0,98,"moderate"
125,"False","Manhattan",40.79163,-73.94573,"Appartment",2,1,1,125,28,365,97,"strict"
110,"False","Manhattan",40.8118,-73.94434,"Appartment",3,1,2,40,1,347,94,"moderate"
175,"False","Manhattan",40.81583,-73.94707,"Appartment",2,1,1,70,2,365,100,"strict"
99,"False","Manhattan",40.72654,-73.98049,"Appartment",6,1,2,100,2,321,90,"moderate"
195,"False","Manhattan",40.80021,-73.96071,"Appartment",6,3,3,100,4,0,100,"strict"
140,"False","Manhattan",40.80942,-73.93936,"Appartment",5,2,4,80,30,220,89,"strict"
135,"False","Manhattan",40.71961,-73.9954,"Appartment",4,2,3,75,2,0,92,"moderate"
900,"False","Manhattan",40.74358,-74.00027,"Appartment",4,2,2,100,2,311,92,"moderate"
65,"False","Manhattan",40.80335,-73.9575,"Appartment",1,1,1,30,15,0,95,"flexible"
110,"False","Manhattan",40.75749,-73.96897,"Appartment",3,1,1,0,200,180,85,"moderate"
130,"True","Manhattan",40.7268,-73.99079,"Appartment",2,1,1,59,9,77,96,"strict"
99,"False","Brooklyn",40.688,-73.9171,"Appartment",3,1,2,150,7,0,91,"strict"
38,"False","Staten Island",40.63536,-74.08537,"House",2,1,1,15,2,362,89,"strict"
38,"False","Staten Island",40.63627,-74.08543,"House",2,1,1,15,2,357,87,"strict"
170,"False","Manhattan",40.79323,-73.97267,"Appartment",2,1,1,50,5,365,96,"moderate"
37,"False","Staten Island",40.63518,-74.08546,"House",2,1,1,15,2,345,88,"strict"
175,"False","Manhattan",40.72477,-73.98161,"House",3,0,2,0,3,351,85,"strict"
205,"True","Manhattan",40.74238,-73.99567,"Appartment",2,1,1,125,15,60,98,"moderate"
285,"True","Brooklyn",40.72945,-73.95511,"House",4,2,2,125,3,338,96,"strict"
103,"True","Manhattan",40.73637,-73.98131,"Appartment",2,1,1,100,2,0,97,"moderate"
38,"False","Staten Island",40.63481,-74.08519,"Appartment",2,1,1,15,2,360,92,"strict"
129,"False","Queens",40.75384,-73.91433,"PrivateRoom",5,1,3,0,4,349,93,"moderate"
195,"True","Manhattan",40.70633,-74.01804,"Appartment",4,2,3,120,28,51,99,"moderate"
39,"False","Brooklyn",40.64106,-73.97426,"Appartment",2,1,1,20,1,365,88,"strict"
60,"False","Brooklyn",40.66793,-73.98327,"Appartment",2,1,1,20,14,0,93,"strict"
90,"True","Bronx",40.81309,-73.85514,"House",3,1,2,25,2,170,98,"moderate"
110,"True","Bronx",40.881,-73.83511,"Appartment",2,1,1,55,1,300,98,"moderate"
135,"False","Brooklyn",40.68236,-73.94314,"House",2,1,1,0,2,0,92,"strict"
390,"False","Manhattan",40.72185,-73.98246,"House",4,2,2,0,5,355,87,"strict"
70,"False","Brooklyn",40.68503,-73.95385,"Appartment",2,1,1,40,3,364,94,"strict"
75,"False","Manhattan",40.86648,-73.9263,"Appartment",2,1,2,80,7,336,100,"strict"
200,"False","Manhattan",40.72807,-73.98594,"Appartment",2,1,1,50,3,0,95,"strict"
100,"True","Brooklyn",40.6778,-73.94339,"House",2,1,0,55,3,364,96,"strict"
70,"False","Brooklyn",40.68317,-73.94701,"Appartment",2,1,1,40,4,351,90,"strict"
75,"False","Brooklyn",40.6761,-73.9529,"Appartment",2,1,1,75,6,356,98,"moderate"
60,"False","Brooklyn",40.67586,-73.95155,"House",3,1,1,0,2,267,96,"strict"
68,"False","Manhattan",40.72321,-73.98157,"Appartment",2,1,1,30,1,90,91,"strict"
36,"False","Brooklyn",40.68027,-73.94433,"Appartment",1,1,1,0,30,0,88,"strict"
75,"False","Brooklyn",40.68276,-73.95264,"House",3,2,2,0,5,132,98,"moderate"
60,"False","Brooklyn",40.71368,-73.9626,"Appartment",1,1,1,0,3,0,96,"strict"
129,"False","Manhattan",40.72837,-73.9827,"Appartment",3,2,2,0,7,329,100,"strict"
130,"False","Brooklyn",40.71069,-73.95175,"Appartment",2,1,1,150,30,363,93,"strict"
95,"False","Brooklyn",40.70863,-73.94641,"Appartment",3,1,1,90,4,96,90,"strict"
75,"False","Manhattan",40.82888,-73.94307,"Appartment",1,1,1,0,3,311,98,"moderate"
175,"False","Brooklyn",40.67319,-73.97323,"Appartment",2,1,1,100,2,127,100,"strict"
190,"True","Brooklyn",40.67846,-73.99443,"Appartment",4,2,2,70,3,365,97,"strict"
212,"True","Manhattan",40.72681,-73.98534,"Appartment",2,0,1,75,3,87,99,"moderate"
95,"True","Manhattan",40.71904,-73.99392,"Appartment",5,1,2,60,1,364,97,"strict"
135,"False","Manhattan",40.81322,-73.95306,"Appartment",5,2,2,60,6,233,87,"moderate"
150,"False","Brooklyn",40.67732,-73.98225,"Appartment",5,1,3,100,2,277,96,"strict"
190,"True","Brooklyn",40.68076,-73.9896,"Appartment",3,1,1,80,3,312,100,"strict"
124,"True","Manhattan",40.79544,-73.94836,"Appartment",2,1,2,140,28,180,97,"strict"
135,"True","Brooklyn",40.71492,-73.96282,"Appartment",4,1,2,120,30,179,98,"flexible"
122,"True","Manhattan",40.80332,-73.95741,"Appartment",2,1,1,0,15,314,96,"flexible"
109,"False","Manhattan",40.80082,-73.9652,"Appartment",1,1,1,0,1,0,84,"flexible"
199,"False","Manhattan",40.78971,-73.9729,"Appartment",2,1,1,80,11,322,99,"flexible"
250,"True","Brooklyn",40.67817,-73.99495,"Appartment",5,3,4,100,4,287,99,"moderate"
125,"False","Brooklyn",40.73119,-73.95578,"Appartment",2,1,1,100,3,364,97,"strict"
575,"True","Manhattan",40.71943,-73.99627,"Appartment",6,3,3,150,2,349,97,"strict"
150,"False","Manhattan",40.78,-73.98249,"Appartment",2,1,1,65,30,89,96,"strict"
90,"True","Manhattan",40.86713,-73.92811,"Appartment",2,1,1,10,2,161,99,"strict"
65,"False","Manhattan",40.73198,-73.98881,"Appartment",1,1,1,50,31,0,97,"moderate"
155,"False","Brooklyn",40.67714,-74.0113,"House",8,2,3,77,4,364,83,"strict"
500,"False","Manhattan",40.72542,-73.97986,"Appartment",7,3,6,100,2,332,94,"strict"
265,"True","Manhattan",40.83403,-73.93951,"Appartment",5,2,4,75,3,336,99,"strict"
130,"True","Manhattan",40.71659,-73.98945,"Appartment",2,1,1,100,25,148,96,"strict"
200,"False","Manhattan",40.72966,-74.00243,"Appartment",2,1,1,170,30,269,97,"strict"
229,"False","Brooklyn",40.72898,-73.95552,"Appartment",4,1,2,0,1,127,100,"strict"
105,"True","Bronx",40.87207,-73.90193,"Appartment",2,1,1,120,25,295,94,"moderate"
110,"False","Manhattan",40.77728,-73.97818,"Appartment",2,1,0,100,13,0,91,"moderate"
59,"True","Brooklyn",40.72646,-73.95341,"Appartment",1,1,1,55,3,90,90,"moderate"
60,"False","Manhattan",40.80375,-73.96609,"Appartment",2,1,1,60,2,23,73,"moderate"
195,"True","Brooklyn",40.71113,-73.96054,"Appartment",4,1,1,60,30,177,100,"strict"
169,"False","Brooklyn",40.71903,-73.9597,"Appartment",2,1,1,149,1,216,93,"moderate"
113,"False","Manhattan",40.80892,-73.93985,"Appartment",3,1,2,0,5,0,82,"strict"
115,"True","Queens",40.77635,-73.93426,"Appartment",3,1,2,0,2,319,93,"moderate"
149,"False","Manhattan",40.80648,-73.9487,"Appartment",5,2,2,100,5,4,93,"strict"
